Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity
2024-10-05 22:45:00,Monday,18-30,Male,Junior high school,2-5yr,Other,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,,,,,No priority to pedestrian,Slight Injury
2024-10-05 08:20:00,Tuesday,18-30,Male,Junior high school,Below 1yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,Under 18,3.0,Moving Backward,Serious Injury
2024-10-05 08:20:00,Tuesday,Under 18,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,,,,,Getting off the vehicle improperly,Slight Injury
2024-10-05 15:10:00,Thursday,18-30,Male,Junior high school,2-5yr,Lorry (11-40Q),Owner,5-10yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,Male,18-30,3.0,Overtaking,Serious Injury
2024-10-05 12:11:00,Thursday,18-30,Male,Elementary school,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Recreational areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Passenger,Female,31-50,3.0,Overloading,Serious Injury
2024-10-05 12:11:00,Thursday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown,Unknown,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Male,18-30,3.0,Changing lane to the right,Serious Injury
2024-10-05 18:36:00,Wednesday,18-30,Male,Unknown,Unknown,Other,Other,Unknown,Unknown,Residential areas,Other,Other,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,,,,,Improper parking,Slight Injury
2024-10-05 18:36:00,Wednesday,18-30,Male,Junior high school,2-5yr,Taxi,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,Female,31-50,3.0,Other,Slight Injury
2024-10-05 18:36:00,Wednesday,18-30,Unknown,Junior high school,5-10yr,Other,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3.0,Changing lane to the left,Slight Injury
2024-10-05 14:35:00,Friday,18-30,Male,Above high school,2-5yr,Automobile,Owner,2-5yrs,No defect,Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 12:25:00,Tuesday,Over 51,Unknown,Unknown,Unknown,Other,Other,Unknown,Unknown,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to pedestrian,Slight Injury
2024-10-05 12:25:00,Tuesday,18-30,Male,Unknown,1-2yr,Lorry (41-100Q),Owner,Unknown,No defect,Industrial areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,Male,18-30,2.0,Overspeed,Slight Injury
2024-10-05 15:30:00,Monday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 18:10:00,Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 15:25:00,Thursday,18-30,Male,Junior high school,Below 1yr,Lorry (41-100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Passenger,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 15:25:00,Thursday,31-50,Unknown,Junior high school,2-5yr,Automobile,Governmental,Unknown,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,,,,,No distancing,Slight Injury
2024-10-05 13:57:00,Saturday,Over 51,Male,Junior high school,Below 1yr,Automobile,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Female,18-30,3.0,No priority to pedestrian,Slight Injury
2024-10-05 13:57:00,Saturday,18-30,Male,High school,5-10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3.0,No distancing,Slight Injury
2024-10-05 20:30:00,Friday,18-30,Male,Above high school,1-2yr,Taxi,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 20:30:00,Friday,Over 51,Male,Junior high school,Below 1yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,2.0,Other,Slight Injury
2024-10-05 20:30:00,Friday,Over 51,Male,Unknown,Unknown,Other,Owner,Unknown,Unknown,Residential areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 16:30:00,Sunday,Over 51,Male,High school,Below 1yr,Automobile,Owner,Unknown,7,Outside rural areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 16:30:00,Sunday,31-50,Male,High school,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 21:50:00,Sunday,31-50,Male,Unknown,Unknown,Other,Owner,5-10yrs,5,Church areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the left,Slight Injury
2024-10-05 21:50:00,Sunday,18-30,Male,High school,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 09:12:00,Wednesday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3.0,No distancing,Slight Injury
2024-10-05 09:12:00,Wednesday,18-30,Male,Junior high school,Above 10yr,Public (13-45 seats),Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3.0,Changing lane to the right,Slight Injury
2024-10-05 14:40:00,Friday,31-50,Male,Junior high school,5-10yr,Lorry (11-40Q),Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,,,,,Changing lane to the right,Serious Injury
2024-10-05 10:36:00,Friday,31-50,Male,Junior high school,1-2yr,Stationwagen,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Driving at high speed,Slight Injury
2024-10-05 10:36:00,Friday,31-50,Male,Unknown,Below 1yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3.0,No distancing,Slight Injury
2024-10-05 18:19:00,Monday,18-30,Male,Junior high school,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 18:19:00,Monday,18-30,Male,High school,2-5yr,Automobile,Owner,Below 1yr,Unknown,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2.0,Changing lane to the left,Slight Injury
2024-10-05 19:12:00,Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3.0,Getting off the vehicle improperly,Slight Injury
2024-10-05 19:12:00,Tuesday,31-50,Male,Junior high school,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Other,Slight Injury
2024-10-05 11:38:00,Saturday,Over 51,Male,Elementary school,2-5yr,Taxi,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Male,31-50,3.0,Other,Slight Injury
2024-10-05 11:38:00,Saturday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 11:38:00,Saturday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,2-5yrs,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 11:38:00,Saturday,18-30,Unknown,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Female,18-30,3.0,Overtaking,Slight Injury
2024-10-05 13:30:00,Thursday,18-30,Male,High school,5-10yr,Public (12 seats),Organization,2-5yrs,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3.0,No priority to pedestrian,Slight Injury
2024-10-05 13:30:00,Thursday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 12:39:00,Tuesday,18-30,Unknown,Junior high school,Above 10yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 12:39:00,Tuesday,Over 51,Male,Junior high school,1-2yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 12:30:00,Friday,18-30,Male,Junior high school,2-5yr,Other,Owner,Unknown,No defect,Industrial areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 12:30:00,Friday,31-50,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,1-2yr,No defect,Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 16:55:00,Sunday,31-50,Male,Unknown,Unknown,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3.0,Other,Slight Injury
2024-10-05 16:55:00,Sunday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Organization,Above 10yr,Unknown,Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Driving to the left,Slight Injury
2024-10-05 18:25:00,Monday,Unknown,Female,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3.0,Driving at high speed,Slight Injury
2024-10-05 18:25:00,Monday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3.0,Other,Slight Injury
2024-10-05 13:01:00,Thursday,31-50,Unknown,Junior high school,2-5yr,Other,Organization,5-10yrs,No defect,Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 13:01:00,Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,Other,Tangent road with flat terrain,O Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:45:00,Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Other,Slight Injury
2024-10-05 13:45:00,Wednesday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 18:45:00,Monday,18-30,Male,Elementary school,5-10yr,Lorry (11-40Q),Owner,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 18:45:00,Monday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 11:02:00,Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,18-30,3.0,Overtaking,Slight Injury
2024-10-05 11:02:00,Thursday,31-50,Male,Elementary school,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Male,Over 51,3.0,Driving carelessly,Slight Injury
2024-10-05 11:02:00,Thursday,31-50,Male,Junior high school,Below 1yr,Bajaj,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 11:02:00,Thursday,31-50,Male,Junior high school,5-10yr,Public (12 seats),Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Female,31-50,3.0,No priority to pedestrian,Slight Injury
2024-10-05 15:55:00,Tuesday,Over 51,Male,Elementary school,1-2yr,Lorry (11-40Q),Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Male,31-50,3.0,Changing lane to the right,Serious Injury
2024-10-05 15:00:00,Wednesday,Over 51,Unknown,Unknown,Unknown,Other,Other,Unknown,Unknown,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 20:00:00,Sunday,31-50,Male,Junior high school,Above 10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 20:00:00,Sunday,Under 18,Male,High school,2-5yr,Automobile,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 18:48:00,Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (11-40Q),Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the left,Serious Injury
2024-10-05 18:48:00,Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (41-100Q),Owner,1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,2.0,Overturning,Serious Injury
2024-10-05 15:55:00,Sunday,Over 51,Male,Above high school,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,,,,,Driving carelessly,Slight Injury
2024-10-05 15:55:00,Sunday,Over 51,Male,Unknown,Unknown,Lorry (11-40Q),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Female,Under 18,3.0,No distancing,Slight Injury
2024-10-05 23:25:00,Wednesday,Over 51,Unknown,Elementary school,2-5yr,Stationwagen,Owner,Unknown,No defect,Office areas,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,Female,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 23:25:00,Wednesday,Over 51,Male,Junior high school,1-2yr,Other,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,,,,,Changing lane to the left,Slight Injury
